"","vtitle","vpoint","vreview"
"2600","극장판 귀멸의 칼날: 무한열차편","10",""
"2601","루킹 글라스","5","끝에가서 무너지네..."
"2602","극장판 귀멸의 칼날: 무한열차편","6","마동석님 효과로 봤어요. 마표 강펀치로 그나마 속을 뚫었네요. 곽병두님 연기는 더 보고싶었는데.. 까메오였나요? 2006년 영화 '구타유발자들' 생각났어요."
"2603","클로젯","10","보기 힘들었지만 꼭 존재해야하는 영화라고 생각합니다."
"2604","수상한 가족","9","사랑의 대상에 따라 변하는 세상의 중심"
"2605","톰과 제리","8","서클 최고경영자 둘을 엿먹이는 영화. 서클 안의 사람들은 모두 호호하하 즐겁기만하다. 하지만 주인공은 그렇지가 못하다. 잠재력은 높지만 할 줄 아는 것은 아무것도 없는 신입사원 백명 중의 한명일뿐. 서클러가 되기 위해 고군분투하지만 무엇인가 상황은 꼬여만간다. 그리고 결국 서클러가 되는데... 구글과 유튜브를 모티브로 한 것 같지만 사회비판적이라기 보단 기술로 인한 디스토피아적인 상황을 그려내고 있다. 그래서 회사이름이 서클이고 유튜브는 트루유가 된 거 같다. 그렇다고 서클이 무슨 일을 하는 회사인지는 정확히 모르겠고 트루유도 정확히는 유튜브가 아니다. 하지만 그와 상당히 닮았다. 사슴 킬러!! ㅎㅎ 왠지는 모르겠지만 디어헌터를 이 영화를 본 사람들에게 추천해주고 싶다."
"2606","극장판 귀멸의 칼날: 무한열차편","10","엄마랑 같이 봤씁니다 평점이 너무 안좋아서 볼려다가 안보려했는데 그냥 봤는데 너무 재밌게봤어요 저희는;;진심으로;;; 감동적이고 메세지도 좋고 갈 가돗 너무 이쁘고 액션도 좋고 연기도 좋고 전 다 좋았어요;;"
"2607","세자매","6","이건...원작을 본 내 잘못을 탓할께...원작을 안봐야 좋은 영화"
"2608","해리 포터와 마법사의 돌","6","기묘하게 잘 어울리는 빌 머레이와 OST."
"2609","검객","7","비급호러나 병맛을 좋아하는 취향이라 나름 재미나게 봤음 ㅎㅎㅎ호불호가 있겠지만,  한국에 드문 장르라 개취로는 굿"
"2610","극장판 귀멸의 칼날: 무한열차편","10","인생 영화중  한편이지요.  정말  살인적인  연기력과  빨려드는  스토리와 슬픔."
"2611","루킹 글라스","10","개봉당시엔 말도안되서 저평가 받고 지금은 현실이 될거같으니 고평가받는듯"
"2612","극장판 귀멸의 칼날: 무한열차편","10","그냥 이런 영화 보면 눈물이 좔좔 흐른다다른 로맨스들과 클리셰는 비슷할 지언정 이런 잔잔한 감성은 확실히 다른 듯"
"2613","클로젯","10","넷플로 봤는데 3년간 본 영화 중 최고입니다.총과 전쟁이 주 스토리라 여자분들은 재미가 반감될수 있으나 남자분들은 강추 드립니다.북한이나 미국이나 뭐 정치적인 거는 다 떠나서....영상이 너무 좋습니다."
"2614","수상한 가족","10","어미어마한 명작이다! 감동에 또 감동..이런 인생 명작 이제서야..2021년에야 봤다.."
"2615","톰과 제리","1","너무 역겹습니다 이런 일뽕에 차서 욱일기 사용하는 작가의 작품을 무비판적으로 수용하는 사람들이 너무 많다니 사람들이 점점 멍청해져 가는 것이 맞는 것 같습니다. 이거 보는 사람들 제발 정신 차리시고 책을 읽으시던지 산책을 하세요 제발 공부도 좀 하시고 운동도 하시는데 제발 일뽕 애니에 빠져서 정신 못 차리지만 마세요 연출 연기 스토리 영상미 OST 다 쓰레기 같습니다"
"2616","극장판 귀멸의 칼날: 무한열차편","10","분위기와 흐름이 자연스럽고 끝내 아름답고 사랑스러운 영화"
"2617","세자매","10","한씬 한씬 궁금해서 계속 보게되는 영화.."
"2618","해리 포터와 마법사의 돌","2","아 진짜 개는 건드리지 마라ㅡㅡ"
"2619","검객","7","일반인들이 알 수 없었던 소방관의 새로운 면모를 보여준 영화스토리가 전형적이긴 하나 볼 만은 하다"
"2620","극장판 귀멸의 칼날: 무한열차편","10","It’s not your fault."
"2621","루킹 글라스","10","잼있네. 시간 가는 줄 모르고 봤어."
"2622","극장판 귀멸의 칼날: 무한열차편","6","불필요한 장면과 어설픈 개연성과대평가 받은 작품"
"2623","클로젯","1","25분 버텼다 ㅜ.ㅜ 너무 하노 진짜 ㅋㅋㅋ"
"2624","수상한 가족","10","이 영화는 그냥 최고다... 몇번을 봐도 안 질리네"
"2625","톰과 제리","9","가볍게 보려했는데 연출과 코믹 케미 작렬"
"2626","극장판 귀멸의 칼날: 무한열차편","10","아니 이렇게 명작이 평점이 왜이리 낮음? 개 잼있는데.. 처음에 본것보다 두번째보니 명작이였네.."
"2627","세자매","7","인종주의적 설정의 한계."
"2628","해리 포터와 마법사의 돌","10","와 이런 영화가 있었어?.. 최근 신하균 배우님 연기에 빠져서 작품 찾다가 보게된영화 이건 장르가 뭐죠?.. SF 라고만 단정 짓기엔 미스터리 스릴러에 고어한 느낌도 있고 사회적 현실도 적절히 잘 반영된 블랙 코미디?.. 러닝 타임동안 이 영화의 온도차가 들쑥날쑥 하지만 전혀 이상하지 않은건 이캐릭터의 이배우들이 였기에 가능했던게 아닐까 정말 지구는 누가 지키죠? 여운이 오래 남아 몇번 더 찾아 보게 될듯 리메이크 희망해봅니다"
"2629","검객","8","스릴있는 영화지만 뻔한 스토리와 결말이 예상되는 내용 나쁜년 연기는 훌륭했다.발연기는 일품ㅋㅋ"
"2630","극장판 귀멸의 칼날: 무한열차편","10","김영광 잘생겼다"
"2631","루킹 글라스","10","천재는 미친놈인 것 같아요"
"2632","극장판 귀멸의 칼날: 무한열차편","5","가족을 잃은 슬픔의 순간을 잘 전달하고 있는데, 전반적으로 무난하고 특색이 없다는 것이 단점이다."
"2633","클로젯","10","재밌습니다 작화가 좋아요"
"2634","수상한 가족","10","남자가 눈물 흐르게 만들었네요"
"2635","톰과 제리","10","영화에서 연출된 모든 것이 서로 시너지를 내면서 작품을 완벽하게 만들었다 한가지 아쉬운건 내가 이 영화를 영화관에서 못 본거.."
"2636","극장판 귀멸의 칼날: 무한열차편","2","기대안하고 봤는데 너무 별로에요. 90년대에 복붙처럼 막 찍어댄 흔한 스릴러느낌. 괜찮은 소재였는데..감독이 못살렸어요. 소재가 너무 아깝습니다."
"2637","세자매","1","뜬금 신파야 참겠는데... 1도 없는 개연성... 허술한 액션... 의미없이 감수하는 위험.... 못 봐줄정도다.... 차뒤에 서서 쏴도 되는걸 굳이 길막고 쏘다 피하고... 온갖 복선이 다 너무 튀어서 앞날이 너무 뻔한데 차 액션도 구려... 긴박감도 없고... 염정화 역할도 오바스럽고... 아니 이 배우들 가져다 이렇게 낭비하는게 ㅋㅋㅋㅋ 진짜 그것도 기술이다... 연출력이 진짜 대박임... 어쩜 이리 재미없게 만드는지... 너무 뻔하게 흘러가는데 인물들의 행동이 다 그냥 맹목적이다. 맹목적으로 착하고 나쁘고 선하고 정의감넘치고... 그와중에 반전들마저 어설프고... 액션은 속도감대신 축축쳐진다. 배기음이 강렬하다고 속도감이 붙는게 아님... 중학생 수준의 스토리에... 제일 문제는 감독의 연출... 찍어놓고 아까워서 늘어난 영화시간까지... 뭐 괜찮은게 하나도 없다..."
"2638","해리 포터와 마법사의 돌","10","위트가 살아있는 추리영화이며 한사람의 선한마음만으로 감동을 주는 영화"
"2639","검객","10","2008년 개봉 당시 보고싶었던  그리고 청춘일때 봤다면 어떤 감정이 였을까 그리고 나에게 어떠한 영감을 줬을까2021년 지금. Bravo my life후회없이 도전하고 즐기며 성취하여 모든것을 사랑하라.그리고 벤저민처럼 나의 유산 기록은 꼭 남기자기록은 기억을 지배하니까"
"2640","극장판 귀멸의 칼날: 무한열차편","3","어차피 후속편 만들거였으면 세계관과 드라마에 대해 고민해보는게 좋지 않았겠어? 뭐 내용이 읍써도 너무 읍다야!"
"2641","루킹 글라스","10","뻔한 눈물장전 결말일줄알았는데 그렇지았않아서 좋았다. 엄마의 소중함을 다시한번 느낀영화."
"2642","극장판 귀멸의 칼날: 무한열차편","8","일어날일은 일어난다면 미래의 파괴된 환경은 결국 일어났고 과거에 환경이 망가지던 덜 망가지던 미래의 파괴된 환경은 이미 일어난 일인데 왜 굳이 미래인이 과거에 관여하려한건지 좀 이해가 안되네"
"2643","클로젯","1","커쇼를 향해 가즈아~~~~!"
"2644","수상한 가족","8","기예르모 델 토로의 잔혹동화."
"2645","톰과 제리","10","두번 봤는데 존잼 ㅠㅠ ㅋㅋㅋ"
"2646","극장판 귀멸의 칼날: 무한열차편","8","러닝타임 내내 스토리, 영상미, 연기 등등 쩔던데 갑자기 훅 꺼져버리고 끝난 느낌... 근데 속편 제작 계획이었다고? 기다린다.."
"2647","세자매","10",""
"2648","해리 포터와 마법사의 돌","10","나도 누군가가 내 마음을 분해하고 고쳐줬으면 좋겠네...."
"2649","검객","10","왜 2021년도에 봤을까요.. 단순한 멜로를 넘어선.. 또 보고 또 보고 있어요 ㅎㅎ 물론 영어공부 위해서 보기 시작했지만, 이 영화 스크립트 다 외우기 목표입니댜??"
"2650","극장판 귀멸의 칼날: 무한열차편","10","넷플릭스에서 시리즈를 하루만에 완주하고...다음스토리 너무 궁금해서 극장판 봤습니다. 너무 잼나요ㅠㅠ 정말 십여년만에 보는 일본 애니인데 귀멸의 칼날은 정말 완벽해요. 영화 보고 난 다음 내용도 궁금해서 e북 만화책 구매했어요. 완결이 났다고 하니 기절시켜서 깨워달라고 할 필요없이 안심하고 정주행 가능할거 같아요."
"2651","루킹 글라스","2","연출...스토리...다별로입니다.진짜 별로다"
"2652","극장판 귀멸의 칼날: 무한열차편","6","전종서 연기보려고 계속봄"
"2653","클로젯","10",""
"2654","수상한 가족","2","돈주고보기 아까웠습니다.cg는 외국 큰자본 영화의 cg에 크게 떨어지지않았습니다. 근데 내용이...."
"2655","톰과 제리","9","느리지만 강한 메시지연기와 연출 흠잡을데 없어요"
"2656","극장판 귀멸의 칼날: 무한열차편","10","박해수 너무 안죽는거 빼곤 볼만했음"
"2657","세자매","10",""
"2658","해리 포터와 마법사의 돌","10","왜 그냥 무덤덤하게본 영화 한편에 눈물이 나는건지  ... 벤자민이라는 단어만 상기시켜도 그냥 가슴이 저릿하다"
"2659","검객","7","너 스스로를 가두지 마. 한번 더 망설이면 끝이다"
"2660","극장판 귀멸의 칼날: 무한열차편","2","여자는 피해자 남자는 가해자 ㅇㅂ하고 자빠졌네 ㅉㅉㅉ"
"2661","루킹 글라스","10",""
"2662","극장판 귀멸의 칼날: 무한열차편","1","말같지도 않은 설정..."
"2663","클로젯","1","너무 밋밋하고 잔잔하네요  이런 스토리를 이렇게 교과서처럼 무미건조하게 만드는 것도 능력입니다  감독이나 연기자 모두 아쉬움이 많네요  특히 여주인공의 행동이 전혀 개연성이 없네요  경찰에 신고하지도 않고 남주인공을 왜 그냥 믿어버리는건지  도무지 영화에 몰입이 되지 않음 절제를 너무 하다보니 영화를 절단을 내놨네"
"2664","수상한 가족","10","오늘부터 내인생의 인생영화가 늘었다!진짜  사람은 배워야하고 나아가야한다는것도 다시금  뼈저리게 느꼈고!  헝그리정신ㆍ부정으로는 못할것이 없다는것도  이 영화를 보며 느꼈다!요새같은 힘든시기에 정말 내삶을 되돌아보게하는 명작을 보게되어  넘감사하다^^"
"2665","톰과 제리","5","김희원은연기 참 맛깔나게 한다"
"2666","극장판 귀멸의 칼날: 무한열차편","4","전형적인 스포츠 영화를 보여주는데, 캐릭터들이 생각만큼 인상적이진 않아서 몰입하기가 쉽진 않다."
"2667","세자매","10","스릴러 끝판왕 연기 연출 모두 최고"
"2668","해리 포터와 마법사의 돌","10","이제 더 이상 이런 영화는 중국에서 기대할 수 없다."
"2669","검객","10","아주 많은 생각을 하게 해주는 영화. cg나 장소이동에 필요없이 배우 캐스팅에 제작비를 몰빵한 영화.소소한 웃음거리가 이어지고 철학적 사색이 포함된 영화"
"2670","극장판 귀멸의 칼날: 무한열차편","7","역시 분수대 키스신은 역대급이다. 단지, 그것뿐이었다."
"2671","루킹 글라스","10",""
"2672","극장판 귀멸의 칼날: 무한열차편","8","2d연출은 어색하지 않게 잘나타냈지만 스토리가 지루한부분이 없지않아 있습니다"
"2673","클로젯","8","간만에 좋은 영화 일것 같았는데.... 흐름이 너무 끊어지네요. 영상은 너무 아름 다운데~스토리가 조금더 깊었으면 너무 좋았겠어요. 아쉽다. 너무 아쉽다.이런 영화 좀더 나왔으면 좋겠네요~^^"
"2674","수상한 가족","10","2가 나오기를 기다립니다 ㅜ ㅜ"
"2675","톰과 제리","9","갓버트드니로.. 내 마음이 다 편해지네"
"2676","극장판 귀멸의 칼날: 무한열차편","8","권총 2정 만으로 선사하는 예술의 극한"
"2677","세자매","1","보다가 잠들었음 개노잼"
"2678","해리 포터와 마법사의 돌","10","진짜 한 두세번 본거 처음이에요 이 영화에 대해 아무것도 모르는 친구랑 봤는데 친구도 재밌게 보고 눈물도 흘렸을 정도로 정말 감동적이고 재미있는 영화에요 특히 액션이 뛰어납니다.... 애니메이터 분들 손목이 걱정 될 정도입니다..."
"2679","검객","5","성장형 먼치킨 드라마 한편 본듯"
"2680","극장판 귀멸의 칼날: 무한열차편","10","영화 채널에서 처음부터 하길래 틀어놓고 뭐 먹으면서 봤는데 재밌어서 다 먹고부터는 몰입해서 봤네요. 쟁쟁한 배우들에 스토리가 조금 뻔하다면 뻔할 수 있지만 세조 실록에 나온 글을 토대로 이런 영화를 만들다니 신박하다는 생각이 들었습니다. 요즘 한국사 공부하는데 좀 지루하다가도 이런 역사 관련 재밌는 영화보면 공부할 맛도 나고 어디까지가 사실일까 생각도 해볼수 있어서 좋았습니다. 역사적 내용에 웃음코드 약간의 슬픈코드 다 있어서 재밌게 본 영화입니다!"
"2681","루킹 글라스","6","무능한 변호사..뻔한 반전?"
"2682","극장판 귀멸의 칼날: 무한열차편","10","Fred(고양이)하나의 눈을 가진 하나밖에 없는 친구. ♡ 삶 속에서 진짜를 놓치지 않길 바래요.♡영화가 끝나니 감명이 시작되네요.알고 있다고 생각한 것들은 실제론 알고 있었다고 믿고 싶었던 것들일까? 내가 안된다고 생각한 것들은실제론 타인을 위한 것일까 나를 위한 것일까? 나에 대한 믿음이 타인에게 신뢰로 허나 부족하지 않는 사람이 어디 있을까? 쓰다보니깐 무슨 말인지 모르겠다.완전한 문장을 써야 좋은 것일까?  Be happy every moment plz :D"
"2683","클로젯","2","이렇게 재미없는영화가 있었나시간아까움"
"2684","수상한 가족","10",""
"2685","톰과 제리","10",""
"2686","극장판 귀멸의 칼날: 무한열차편","9","원작 안보고 봐도 재미 있어요 어른들이 봐도 좋은 영화 같아요"
"2687","세자매","1","제목은 톰과 제리인데 주인공은 클로이임...아이들은 캐릭터를 좋아할텐데 어른들이 나오는 장면이 길고 지루함.. 내용도 어른스러움웬만하면 잘앉아있는 우리집 꼬마도 지루하다고 일어나서 힘들었음ㅜ"
"2688","해리 포터와 마법사의 돌","10","현 청춘들의 버닝을 보여준 영화"
"2689","검객","10",""
"2690","극장판 귀멸의 칼날: 무한열차편","2","제발...알바좀 쓰지마세요아이린 갑질 아니었으면 홍보 장난아니었겠지만..그냥조용히 평점알바치려고한거 같은데 아닌거 같습니다."
"2691","루킹 글라스","8","재밌게 봤어요. 요새 베라파미가 나오는 영화 찾으며 보는중."
"2692","극장판 귀멸의 칼날: 무한열차편","2","명작이었던 1,2편의 명성에 똥칠을 함. 로보캅 특유의 세기말적인 분위기, 명확하던 영화의 주제의식은 온데간데 없어졌다. 뭘 말하고 싶은건지도 모르겠다  로보캅은 이런 영화가 아니잖아? 악역들의 매력도 너무 떨어졌음, 범죄도시 디트로이트를 주름잡는 악랄하고 잔인한 악당들은 어디가고 무슨일본폭주족 코스프레 한것같은 어이없는 찐따들이 설친다. 전작들에선 무섭고 너무나 싫은 악역들을 절대적인 무력으로 찍어누르며 일말의 망설임없이 무자비하게 쏴죽이던 로보캅 머피의 모습에서 전율을 느꼈다면, 3편은 악당들이 매력도없고 밉지도 싫지도않은 무색무취 그 자체라 걔들을 어떻게 꺾고때리고부숴도 아무런 감흥이 없음. 그냥 그런가보다...하는거지, 액션도오히려 더 퇴보했다. 전작은 투박하지만 묵직한 맛이 있었는데, 이건 그냥 뭔...."
"2693","클로젯","10","주인공이 레알 존잘....얼굴 피지컬 보다 시간 다감"
"2694","수상한 가족","6",""
"2695","톰과 제리","10","이런 B급 좋아합니다. 좋은 시도"
"2696","극장판 귀멸의 칼날: 무한열차편","10","결이 다른 또 하나의 광주"
"2697","세자매","8","스토리가 아쉽다 하는데 SF라는 효과와 장치들의 퍼포먼스 파티,눈으로 즐기는 게임,  그 자체의 장에서 '그놈의 스토리충' 들 말대로 좀더 짜임새있었다면 뭐가 어떻게 굴러가는지 모를 복잡하고 머리아픈걸로 그 어마어마한 효과와 CG,그래픽 월드가 한순간에 폴리곤덩어리가 되고 쓰잘때기없이 눈만아픈 효과가 됐을거라 생각함. 영화 감독이나 각본진이 이런사람들 말을 안듣는데는 다~ 이유가 있다고 생각함. 우리나라에서도 이런 CG와 상상력으로 짜낸 SF월드가 나올수 있다는것에 그저 신기하고 할 수 있었구나 싶고  고마울뿐이다. 이제 제대로 한걸음 딛음에 축하를 보내고 더욱 수려한 수준의 SF월드를 관객으로써 그리고 매니아로써 기대해볼것이 하나 더 생겨서 너무 좋다. 코시국만 아니었다면 영화만큼 화려한 영화관 성적을 거두었을것이라고 조심스레 생각함. 충분히 오락영화로써 멋졌고 재밌었다."
"2698","해리 포터와 마법사의 돌","10","무조건 보세요 제 인생드라마입니다"
"2699","검객","10",""
"2700","극장판 귀멸의 칼날: 무한열차편","9","넷플로 봤는데 좀 충격적임. 끝나고 너무 우울하다 못해 암울함."
"2701","루킹 글라스","10","학창시절 오해 안 당해 본 사람이 없을 만큼 오해의 대한 소재로 너무나 잘 표현한 영화네요 몇 번을 봐도 마지막 기태와 동윤의 장면은 가슴이 미어집니다"
"2702","극장판 귀멸의 칼날: 무한열차편","10","보다가 울었어요... 진짜 꼭 보세요 감동쩔고 현빈이 진짜 너무 멋있어요.."
"2703","클로젯","8","뭔가 복잡한 듯한 느낌을 받았지만 두 번째로 보는 영화임에도 예측을 벗어나는 결말을 알기 힘든 흥미로운 영화"
"2704","수상한 가족","8",""
"2705","톰과 제리","6","발칙한 감독, 백윤식을 도구로 장르적 특유의 지루함을 극복했다. 스토리도 잘 만들었네~"
"2706","극장판 귀멸의 칼날: 무한열차편","8","중독이 떠오른다. 강한 결심으로 현실에 디딘 발의 무게로 금욕하지만 다시 원위치 되는 인간의 모습. 과연 주인공 아저씨는 결심을 지킨 것인가? 끊어 낼 수 있을까? 끊어야 한다. 모두가 그렇다면 좋은 세상이 되겠지."
"2707","세자매","6","와 개빡쳐 진짜... ost는 좋은데... 와... 진짜 단발머리 너어는.... 후..."
"2708","해리 포터와 마법사의 돌","10","죽기전에 안보면 손해인 영화"
"2709","검객","10","단추 참~~~ 힘들게 채워준다"
"2710","극장판 귀멸의 칼날: 무한열차편","10","정말 너무 재밌게 봤습니다"
"2711","루킹 글라스","6","국뽕도없고 답답하고 억지스럽고  미국대통령이 연기 제일 잘합니다"
"2712","극장판 귀멸의 칼날: 무한열차편","10","보면 가슴이 웅장해지는 영화  2기 기다리면서 후유증이 너무 심하다 차라리 안 봤을 때로 돌아가고 싶다 너무 재미있다"
"2713","클로젯","10","스토리가 너무 복잡하지 않은 환타지영화라서 보는데 스트레스가 없다. 영상미가 뛰어나고 배우들의 연기도 좋고 기승전결 스토리도 짜임새있다"
"2714","수상한 가족","10","렌고쿠를위한 영화 안보고후회하지말고 일단 보세요"
"2715","톰과 제리","8","김선영님의 연기는 가히 최고였지만  맡은 역할에 대해선 이해가 되지 않는 부분이 있다. 학대 받고 살아왔다고 저렇게 평생을  폭력을 인정하며 , 마치 그러는 편이 편해보인다는듯 산다고? 거기에는 동의 할 수 없다.장윤주님의 연기도 좋았지만 학교씬은 현실과는 너무 거리가 멀지 않았나 싶다.  다시 느끼지만 가정폭력을 인정하며 사는 순간  그건 인간이길 포기한거다"
"2716","극장판 귀멸의 칼날: 무한열차편","8","탄탄한 스토리에 튼실한 연기...수작이다."
"2717","세자매","10","그냥 생각없이 틀었다가 많은 생각과 또 로스엔젤레스의 아름다움을 알게 해준 영화였네요마지막 부분은 특히 내젊은시절 아무것도 없이 꿈만 행해서 뛰어든 시절을 생각나게해 눈물이 나네요ㅠㅠ 스토리 연기 가릴거 없이 완벽한 영화였어요 이번달 중순에 하필 LA로 출국 예정인데 감흥이 정말 어마어마하네요ㅠ"
"2718","해리 포터와 마법사의 돌","6","기대가 컸나보다. 감독 상상력 단순.진부. 정해놓은 결과치로 꿰어 맞춘 이야기일뿐. 자연스러운 교감이 안간다."
"2719","검객","8","좀 이름있고 명성이 있는 배우들을 임팩트없이 보내는 것에 대한 아쉬움이 생겼음. 캐릭터에 대한 스토리를 짧은 런타임으로 인해 생략됨이 많지만 그럼에도 불구하고 분위기와 대부분의 스토리를 잘 짰고 끝을 향해 잘 달려갔다고 생각됨."
"2720","극장판 귀멸의 칼날: 무한열차편","8","킬링타임용으로 봤는데 재미와 감동 모두 있다. 근데 막판에 너무 오글 ㅠ ㅠ 이솜 배우 연기가 아주 찰져서 좋았음"
"2721","루킹 글라스","8","킬링타임용으로 봤는데 재미와 감동 모두 있다. 근데 막판에 너무 오글 ㅠ ㅠ 이솜 배우 연기가 아주 찰져서 좋았음"
"2722","극장판 귀멸의 칼날: 무한열차편","10","진짜 영화관에서 무조건 봐야하는 작품.."
"2723","클로젯","10","마음이 울고싶을때 함께 울며 다독여주는 영화"
"2724","수상한 가족","8","나한테는 굉장히 야한 영화였는데 다른 이들은 액션씬을 주목해서 어리둥절했다.차이점은 영화를 본 장소였다.난 러시아 텔레비전에서 봤는데 무삭제였다.적나라한 씬들이 매우 인상적이었다.그래서 오늘 한국 케이블에서 다시 본 이 영화가 매우 담백하고 심심할 뿐이다."
"2725","톰과 제리","10","모든면에서 완벽했다 감동그이상 최고의명작기다린보람이있다!! 맘이아프기도한ㅜㅜ"
"2726","극장판 귀멸의 칼날: 무한열차편","10",""
"2727","세자매","9","퇴폐적인 화보집을 영상으로 보고온 느낌"
"2728","해리 포터와 마법사의 돌","7","조용히 살 수 없는 너무 많은 스포트라이트"
"2729","검객","10","인생 top5 영화.최고의 배우들"
"2730","극장판 귀멸의 칼날: 무한열차편","9","조선시대 분위기를 가볍게 담으면서 시대배경을 잘 표현한거 같습니다."
"2731","루킹 글라스","10","좋은데요? 기대 안하고 봤는데 한국영화 발전 많이한듯"
"2732","극장판 귀멸의 칼날: 무한열차편","10","넷플릭스로 지금 또 보고있는데그날의 감동이ㅠ 볼때마다 감동"
"2733","클로젯","10","대사와 그림체 모두 기대이상 이었습니다ㅎㅎ넘 감동이었습니다ㅜㅜ"
"2734","수상한 가족","10","2021년에 다시봐도 미침. 죽여주는영화"
"2735","톰과 제리","1","아 이게 무슨 3류 영화냐"
"2736","극장판 귀멸의 칼날: 무한열차편","9","오랜만에 흥미진진했던 영화 연기력은 말해뭐해... 좁은공간에서 주는 은근한 긴장감도 좋았다"
"2737","세자매","9","처음본지 20년이 가까이 지났고, 가끔 어쩌다가 연관검색에 나와도 쉽게볼수없다..그예전 눈물흘렸던게 기억나서.."
"2738","해리 포터와 마법사의 돌","6","지금은 어린애들 데리고 이런영화 못찍음.그잘난 인권충들 때문에.   몇년만에 다시보니 초호화 캐스팅이네. 지금은 민기가 절대 주연급이 아닌데 ㅎ 대단하네.김고은은 여자들이 은근히 시샘하고 싫어하는거 같네. 김고은은 남자들의 로망이다."
"2739","검객","8",""
"2740","극장판 귀멸의 칼날: 무한열차편","3","야이씹.. 그 열정이면 군대를 가라.. 한녀들의 천태만상이 보이더구나"
"2741","루킹 글라스","7","아쉬 운점은 좀 현실좀 반영좀 시키지 그래 총이야그래 상처 없이 벌레만 맞출수 있다고 처. 킹콩이 저리 들고 날리 부루스 치고 흔들어대면서 종일 내달렸는대 오바이트 한번도 아무리 멀미에 강한사람이라고 처도... 그리고 저리 굴루고 그랬는대 화장은 또 언재했는지 너무 꺠긋한 피부"
"2742","극장판 귀멸의 칼날: 무한열차편","2","우성씨가 문통 연기하는건가요? 아~ 진짜 연기 너무못하네요 차라리 문통이 직접 출연하는게 더좋을듯합니다 최악이네요 그리고 유연석씨는 연기좋았어요^^ 진짜 살빠진김일성느낌~~~^^"
"2743","클로젯","8","분명히 러브레터 후속작은 아닌데, 후속작을 본 느낌..."
"2744","수상한 가족","9","소재가 신선하고, 노이즈가 매우 코믹합니다."
"2745","톰과 제리","10","영화 시작후 ㅈ같은 학교폭력 장면 꾹 참고 보면서 스토리에 올라타면 재미있네요 배우들의 연기도 훌륭하고 기승전결 스토리도 짜임새있는 독립영화의 수작입니다"
"2746","극장판 귀멸의 칼날: 무한열차편","5","잘 기획된 서울과 뉴욕 홍보용 1시간 50분짜리 뮤직 비디오."
"2747","세자매","6","평점 알바에 속지마시길...그냥 킬링타임용 영화..."
"2748","해리 포터와 마법사의 돌","8","생각없이 웃으면서 재밌게 봤네요^^"
"2749","검객","10","자본주의가 존재하는한 이 영화는 언제나 젊은이들의 가슴을 울릴수 있으리라."
"2750","극장판 귀멸의 칼날: 무한열차편","10","사회의 문제점을 지적하는 동시에 많은 의미를 부여하는 영화"
"2751","루킹 글라스","10",""
"2752","극장판 귀멸의 칼날: 무한열차편","7","조희팔을 재료로 만들었는데 시나리오는 엉성하고 캐릭터는 틀에 박혔다 평점 7.2"
"2753","클로젯","10","함께 본 호랑이 그리고 끝 내 함께 볼 수 없었던 물고기들.주인공들의 감정의 서사를 잘 표현한 작품."
"2754","수상한 가족","8","퇴마하는 씬은 일본 오리엔탈리즘의 절정을 보여줌"
"2755","톰과 제리","9","진정한 사랑의 의미를 다시 한 번 느끼게 해준 가슴 잔잔한 영화였습니다 결말도 꾀 맘에 드네요 꼭 보세요~"
"2756","극장판 귀멸의 칼날: 무한열차편","1","미션 임파서블 시리즈 전체에 누를 끼지는 작품"
"2757","세자매","10","진짜 너무 속상한 영화, 현실 그래도 마지막이 너무 속상하지 않아서 다행이였어요.한지민 최고!!"
"2758","해리 포터와 마법사의 돌","10","애니를 원래 즐겨보는 사람은 아닌제 이걸 보고 느꼈음 귀칼은 정말 명작이라는 걸... 진짜 개재밌음 진짜 진ㅁ즈 진짜 이건 영화관에서 봐야함 정말 너무 재밌어여 꼭 보셍ㅛ 휴지 꼭 챙겨가시구요 넘 재밌다구여 정말 ㅠㅠㅠㅠ"
"2759","검객","10","누군가에게 꼭보라고 추천을 할만큼인진 모르겠지만내가 이영화를 봤다는게 참 행운이구나 느끼는영화"
"2760","극장판 귀멸의 칼날: 무한열차편","6","이와이 슌지의 전작보다 많이 부족한 편지"
"2761","루킹 글라스","10","평점 너무낮네...ㅜ 볼만했는데"
"2762","극장판 귀멸의 칼날: 무한열차편","10","사랑하는 사람들과 헤어질 수 밖에 없는 삶이란"
"2763","클로젯","10","디테일이 살아있음... 결혼해서 세자매가 저러는데 남편들이 불쌍함... 여자들은 감정 조절이 힘듬."
"2764","수상한 가족","8","Moon River 노래 너무 좋다.60년대인데 왠지 지금보다 세련된거 같다오드리헵번만 소화 할 수 있는 옷들 특히 맨처음에 검정드레스에 커피와 크루아상을 먹는 장면은 명장면이다."
"2765","톰과 제리","10","보는내내 눈이 즐거운영화.보는장면이 모두 액자속 그림같은 어둡고 침침한 교도소안도 앤틱하고 분위기있게 그려내는  감독의 연츨력이 대단합니다.보고 후회하지않을 영화입니다."
"2766","극장판 귀멸의 칼날: 무한열차편","10","영화도 물론인데 OST가 죽여줌"
"2767","세자매","1","주인공이 착한역이요. 모자른역이요.애를 왜 저지경으로 만들어 놓나. 하. 할말이 없다. 감독누구나."
"2768","해리 포터와 마법사의 돌","8","사설탐정이 왜케 허술하고 멍청한거야"
"2769","검객","10","최근 본영화중에 최고"
